phylum,width,rank,AUROC,AUPR
Echinodermata,cnn7,order,0.9792667120194558,0.9515174866640925
Echinodermata,cnn9,order,0.9877171110453836,0.9636160326000555
Echinodermata,cnn11,order,0.9847421345469847,0.9606436428595335
Echinodermata,cnn13,order,0.9874243769450243,0.95906819724399
Chordata,cnn11,order,0.9920144048724715,0.9491673759613382
Mollusca,cnn5,order,0.9887327676338115,0.9185401878358612
Mollusca,cnn9,order,0.986698588446084,0.9281789113462148
Mollusca,cnn7,order,0.98960265855579,0.9366472226274417
Nematoda,cnn5,order,0.9586979623434224,0.8660964220553657
Nematoda,cnn7,order,0.9724063170838664,0.902586009257849
Nematoda,cnn9,order,0.9750855175311608,0.8981772342555994
Nematoda,cnn11,order,0.984618084625815,0.9379349533067534
Nematoda,cnn13,order,0.9838238657785663,0.9452046417630084
Platyhelminthes,cnn5,order,0.9799425897658519,0.9360304507975268
Platyhelminthes,cnn7,order,0.9814411390199622,0.9749717029815966
Platyhelminthes,cnn9,order,0.9914907224739886,0.9854753456511203
Platyhelminthes,cnn11,order,0.9857461442321104,0.9789314494099501
Platyhelminthes,cnn13,order,0.9920616700842269,0.9819781775423201
Mollusca,cnn11,order,0.9935780047217866,0.9350164232471159
Chordata,cnn13,order,0.990975775641855,0.9542810519016808
Mollusca,cnn13,order,0.9916051886892946,0.9309708404966994
Annelida,cnn5,family,0.9415070998263321,0.8765031542476299
Annelida,cnn7,family,0.959048688838772,0.884023706704324
Annelida,cnn11,family,0.946859594767804,0.8612391540657947
Annelida,cnn9,family,0.9616089716829108,0.8750683129961431
Annelida,cnn13,family,0.9743246872867625,0.9215834815742017
Arthropoda,cnn11,family,0.9948818241291582,0.9402446362507533
Arthropoda,cnn5,family,0.9932995649187772,0.9352101247522301
Arthropoda,cnn7,family,0.9932801551783677,0.9320285268673479
Arthropoda,cnn9,family,0.9946288879375761,0.9395371902978359
Arthropoda,cnn13,family,0.994291244032471,0.936123127520667
Chordata,cnn5,family,0.9870665339045531,0.9371972662105953
Chordata,cnn7,family,0.9884456498963431,0.9438563860958246
Chordata,cnn9,family,0.9887719526229443,0.9427343773026597
Cnidaria,cnn5,family,0.9604701099030766,0.8812084971071177
Cnidaria,cnn7,family,0.9543188183274756,0.8999780389464156
Cnidaria,cnn9,family,0.9626198319782695,0.901210902162211
Cnidaria,cnn11,family,0.9628465008218339,0.9021889070475867
Cnidaria,cnn13,family,0.9694504119908027,0.9077210963498289
Echinodermata,cnn5,family,0.9779152174541712,0.9330696197726911
Echinodermata,cnn7,family,0.9827953457102985,0.9521441688929076
Echinodermata,cnn9,family,0.9872949790653466,0.9572723294556226
Echinodermata,cnn11,family,0.9824321801194362,0.9573863281611401
Echinodermata,cnn13,family,0.9903705781900667,0.9644768312967084
Chordata,cnn11,family,0.9886238549749741,0.9423729194176339
Mollusca,cnn5,family,0.9565017899915067,0.8556688767325816
Mollusca,cnn9,family,0.9634562229810112,0.8755778276656999
Mollusca,cnn7,family,0.9650551513883543,0.8706660418034547
Nematoda,cnn5,family,0.9241698073799945,0.7937325741731485
Nematoda,cnn7,family,0.9239004132701699,0.793227036107808
Nematoda,cnn9,family,0.9537915081947828,0.8471137452299532
Nematoda,cnn11,family,0.9555499281021823,0.8569431110620164
Nematoda,cnn13,family,0.9728031010264473,0.8870731449349889
Platyhelminthes,cnn5,family,0.9706701865482207,0.940606517144817
Platyhelminthes,cnn7,family,0.991975440057393,0.9557453315206851
Platyhelminthes,cnn9,family,0.9990550971969892,0.991811713992766
Platyhelminthes,cnn11,family,0.9930886760678246,0.9852317869282414
Platyhelminthes,cnn13,family,0.9955760271075587,0.9834062480386222
Mollusca,cnn11,family,0.9587234600063502,0.876078303352556
Chordata,cnn13,family,0.9902038833310408,0.9412343731274271
Mollusca,cnn13,family,0.9592554114939971,0.8774499689574312
Annelida,cnn5,genus,0.9329469979339176,0.8370875626931426
Annelida,cnn7,genus,0.9266807081687957,0.8225290970556836
Annelida,cnn11,genus,0.9151566153069701,0.7961081419164575
Annelida,cnn9,genus,0.9273479502601206,0.8177266202756583
Annelida,cnn13,genus,0.9493405786704152,0.8657367899215979
Arthropoda,cnn11,genus,0.9772480266781832,0.8833581041837063
Arthropoda,cnn5,genus,0.9755953635781638,0.8746365352452197
Arthropoda,cnn7,genus,0.9736012075628084,0.8668405410565097
Arthropoda,cnn9,genus,0.976999087363255,0.8803318053739357
Arthropoda,cnn13,genus,0.9777863312769617,0.8811114390131968
Chordata,cnn5,genus,0.9666354689147971,0.8894276631815192
Chordata,cnn7,genus,0.9695266217160292,0.8953811113951395
Chordata,cnn9,genus,0.9670969942176639,0.8980634808179551
Cnidaria,cnn5,genus,0.9489381784253075,0.8724984623414196
Cnidaria,cnn7,genus,0.9385387271736851,0.8837828675652154
Cnidaria,cnn9,genus,0.9582346999838207,0.8922894758621972
Cnidaria,cnn11,genus,0.9587894748111376,0.8967534592142727
Cnidaria,cnn13,genus,0.9673046206708086,0.9096762054862835
Echinodermata,cnn5,genus,0.9694767048771024,0.9004677737846197
Echinodermata,cnn7,genus,0.9641055029021387,0.9113055665601949
Echinodermata,cnn9,genus,0.976749383665224,0.9338213672776261
Echinodermata,cnn11,genus,0.9711038763182842,0.9252541600574933
Echinodermata,cnn13,genus,0.9824115306529212,0.9319476027102995
Chordata,cnn11,genus,0.9682051090105404,0.8954679564792843
Mollusca,cnn5,genus,0.9300235179807054,0.8023985445007135
Mollusca,cnn9,genus,0.9341861347824785,0.8305794824913426
Mollusca,cnn7,genus,0.9413536710504296,0.8281714923335085
Nematoda,cnn5,genus,0.9155400177796178,0.7734626558473126
Nematoda,cnn7,genus,0.9115158192254598,0.7568383141422794
Nematoda,cnn9,genus,0.9448004391315752,0.8314587460601559
Nematoda,cnn11,genus,0.9208121753285128,0.8318147470021298
Nematoda,cnn13,genus,0.954804803982654,0.8496012993187562
Platyhelminthes,cnn5,genus,0.979652557995143,0.9399745496717918
Platyhelminthes,cnn7,genus,0.9904997770635964,0.9532604435765621
Platyhelminthes,cnn9,genus,0.9973530226659508,0.9890796983331112
Platyhelminthes,cnn11,genus,0.992719624501652,0.9823515805675586
Platyhelminthes,cnn13,genus,0.9961547407325935,0.9842131612970475
Mollusca,cnn11,genus,0.936752132841356,0.8293805978846974
Chordata,cnn13,genus,0.9699547598266578,0.9013199158544911
Mollusca,cnn13,genus,0.9317162028991609,0.8311015478295272
Annelida,cnn5,species,0.9304427616569233,0.8165141532357466
Annelida,cnn7,species,0.9205629346678206,0.8185611526219307
Annelida,cnn11,species,0.9118736646798618,0.8138333079890995
Annelida,cnn9,species,0.9329034994661771,0.8332045609249681
Annelida,cnn13,species,0.9293587722704812,0.8347414256033827
Arthropoda,cnn11,species,0.9612064043017168,0.9403644102902058
Arthropoda,cnn5,species,0.9599433184971908,0.9415840595014565
Arthropoda,cnn7,species,0.9373058601629496,0.9326844162971919
Arthropoda,cnn9,species,0.958584406053661,0.9409494831136237
Arthropoda,cnn13,species,0.9605005264433011,0.9418099540603702
Chordata,cnn5,species,0.9113378119396858,0.7982080913890625
Chordata,cnn7,species,0.9159485986874104,0.8013453008142895
Chordata,cnn9,species,0.9099854174902215,0.8043563820695692
Cnidaria,cnn5,species,0.7573519666676849,0.5927140771670796
Cnidaria,cnn7,species,0.7624554300367308,0.5811094253185253
Cnidaria,cnn9,species,0.7840448211383171,0.5857818563923256
Cnidaria,cnn11,species,0.802911686433623,0.583500318648657
Cnidaria,cnn13,species,0.7939499745055302,0.6287853206445418
Echinodermata,cnn5,species,0.963859279439076,0.882183835122773
Echinodermata,cnn7,species,0.9646713825864187,0.8903981386895302
Echinodermata,cnn9,species,0.9564807075482397,0.8850269333727914
Echinodermata,cnn11,species,0.9694133126858733,0.8865583145179161
Echinodermata,cnn13,species,0.9606485535025444,0.8791538455301146
Chordata,cnn11,species,0.9059632902865717,0.7934255069310311
Mollusca,cnn5,species,0.9078241574899606,0.779801081143809
Mollusca,cnn9,species,0.9060553316820085,0.7698835716874205
Mollusca,cnn7,species,0.9169678315082694,0.7769937419699339
Nematoda,cnn5,species,0.9651467019413914,0.9232480069764722
Nematoda,cnn7,species,0.9671817529030005,0.9230958541387391
Nematoda,cnn9,species,0.9683984179110885,0.9276030416381293
Nematoda,cnn11,species,0.9652533137425925,0.9258659244039362
Nematoda,cnn13,species,0.9717565281418609,0.9247636551782802
Platyhelminthes,cnn5,species,0.9501495289860828,0.8389971364662724
Platyhelminthes,cnn7,species,0.954146867526497,0.8416937006751821
Platyhelminthes,cnn9,species,0.9576332946703316,0.8434929815176728
Platyhelminthes,cnn11,species,0.9093758953340274,0.8360044215291128
Platyhelminthes,cnn13,species,0.9384412388579056,0.8372660045808193
Mollusca,cnn11,species,0.9145276244926189,0.7886341427847123
Chordata,cnn13,species,0.911278209199635,0.7976268500550663
Mollusca,cnn13,species,0.9164992006930553,0.7937890439113346
