train,test,phylum,rank,AUROC,AUPR
wo_mcm,wo_mcm,Arthropoda,order,0.9981331343783005,0.9739422190274004
w_mcm,wo_mcm,Arthropoda,order,0.6127671873867822,0.0844827957379382
w_mcm,w_mcm,Arthropoda,order,0.9912600367362969,0.9233687129183332
w_mcm,w_mcm,Chordata,order,0.9629012880178259,0.8962164289882272
w_mcm,wo_mcm,Chordata,order,0.5624215086065462,0.08960012179951568
w_mcm,w_mcm,Cnidaria,order,0.9727833111562219,0.932137111460172
w_mcm,wo_mcm,Cnidaria,order,0.7448077905242814,0.5299024170814188
wo_mcm,w_mcm,Cnidaria,order,0.9830676298783553,0.9617407488149721
wo_mcm,wo_mcm,Cnidaria,order,0.9815539655828103,0.9610277266518692
w_mcm,w_mcm,Echinodermata,order,0.9826170137884227,0.9580582623348675
w_mcm,wo_mcm,Echinodermata,order,0.6557486023162316,0.3261793579863355
wo_mcm,w_mcm,Echinodermata,order,0.9882473993258474,0.9675902658983568
wo_mcm,wo_mcm,Echinodermata,order,0.9879430754305811,0.9632696244829525
wo_mcm,w_mcm,Chordata,order,0.9919827538487953,0.9575045174840295
w_mcm,w_mcm,Mollusca,order,0.9538392736388105,0.8626982954521809
w_mcm,wo_mcm,Mollusca,order,0.5566593070698985,0.1105026089718587
w_mcm,w_mcm,Nematoda,order,0.9721993727194681,0.9100903726276168
w_mcm,wo_mcm,Nematoda,order,0.45170833146351785,0.2181514287756506
wo_mcm,w_mcm,Nematoda,order,0.9729430527323703,0.9120992434751541
wo_mcm,wo_mcm,Nematoda,order,0.9758236877659285,0.9293228628947818
w_mcm,w_mcm,Platyhelminthes,order,0.9839199179125226,0.973905986995567
w_mcm,wo_mcm,Platyhelminthes,order,0.3267555310563005,0.13334250923356827
wo_mcm,w_mcm,Platyhelminthes,order,0.9819653912695063,0.9768829874353268
wo_mcm,wo_mcm,Platyhelminthes,order,0.9800565118904758,0.9720724136758546
wo_mcm,wo_mcm,Chordata,order,0.9896405155573038,0.9547954022847586
wo_mcm,w_mcm,Mollusca,order,0.988252077806708,0.9309275356414407
wo_mcm,wo_mcm,Mollusca,order,0.9785911668213736,0.9280339830136598
w_mcm,wo_mcm,Annelida,family,0.41616010603893266,0.1619501829663667
w_mcm,w_mcm,Annelida,family,0.9404060282121882,0.8245731012416013
wo_mcm,wo_mcm,Annelida,family,0.961363893821491,0.8693764411607534
wo_mcm,w_mcm,Annelida,family,0.9697345436897463,0.8742279188771603
wo_mcm,w_mcm,Arthropoda,family,0.9932453271028542,0.9320285268673479
wo_mcm,wo_mcm,Arthropoda,family,0.9906194958290612,0.9335337570565135
w_mcm,wo_mcm,Arthropoda,family,0.5764110534778216,0.026536622868470368
w_mcm,w_mcm,Arthropoda,family,0.962065080926578,0.8645099063358936
w_mcm,w_mcm,Chordata,family,0.9588009865499413,0.8866207189637524
w_mcm,wo_mcm,Chordata,family,0.5100030386889951,0.04793881265336205
w_mcm,w_mcm,Cnidaria,family,0.9601495221155606,0.8840624645023802
w_mcm,wo_mcm,Cnidaria,family,0.5394361644384948,0.24602526989335816
wo_mcm,w_mcm,Cnidaria,family,0.9411908522893109,0.8868552997883833
wo_mcm,wo_mcm,Cnidaria,family,0.9365392225250804,0.892753446769442
w_mcm,w_mcm,Echinodermata,family,0.9816133435141309,0.942713924476115
