phylum,trial,rank,AUROC,AUPR
Echinodermata,2,order,0.9884521051516904,0.9643353564700858
Echinodermata,1,order,0.9898906638123042,0.9639972513088629
Echinodermata,3,order,0.9871388041538458,0.9626241612168527
Echinodermata,4,order,0.9905974255532383,0.9632310571851964
Chordata,3,order,0.9921589053132829,0.9556988286884608
Mollusca,0,order,0.9920095659953839,0.9309708404966994
Mollusca,1,order,0.9930512441858161,0.9308659775644431
Mollusca,2,order,0.9927290773416287,0.9310939585756952
Nematoda,0,order,0.983033302641366,0.9452046417630084
Nematoda,1,order,0.9876261599073124,0.9486486854142393
Nematoda,2,order,0.9906874993229637,0.9520931797811653
Nematoda,3,order,0.9880992689977321,0.9543734363907771
Nematoda,4,order,0.9887552371909464,0.9540935382152458
Platyhelminthes,0,order,0.991792570474748,0.9854753456511203
Platyhelminthes,1,order,0.9915363891654573,0.9856007637853855
Platyhelminthes,2,order,0.9924913129654223,0.9876740511800669
Platyhelminthes,3,order,0.9916828860113596,0.9841344788497808
Platyhelminthes,4,order,0.9917315403497898,0.9852439211937422
Mollusca,3,order,0.9924686485558738,0.945996285945879
Chordata,4,order,0.9875877081955945,0.9546706198431437
Mollusca,4,order,0.9938067244272724,0.9385755145675423
Annelida,1,family,0.9683649023708063,0.9065496545258709
Annelida,0,family,0.9743246872867625,0.9215834815742017
Annelida,3,family,0.9745685387184496,0.9183489113361298
Annelida,2,family,0.9718601633025408,0.9151813699553486
Annelida,4,family,0.9703411946613663,0.915668016371966
Arthropoda,0,family,0.9943675168366446,0.936123127520667
Arthropoda,4,family,0.994792811810336,0.9414911774721993
Arthropoda,1,family,0.9939721714027397,0.9425434374631866
Arthropoda,2,family,0.9939673409096421,0.9415280067832946
Arthropoda,3,family,0.9950721027453115,0.9430492653476117
Chordata,0,family,0.9887552142543004,0.9427343773026597
Chordata,1,family,0.9900122591695747,0.946016341839432
Chordata,2,family,0.9865783203619845,0.9450041277117703
Cnidaria,0,family,0.9675847031081235,0.9077210963498289
Cnidaria,1,family,0.9674097036146359,0.908509666148384
Cnidaria,2,family,0.9674463751099482,0.9064813916514077
Cnidaria,4,family,0.9679032464378229,0.9067532674112652
Cnidaria,3,family,0.9695562645068594,0.9068167642539627
Echinodermata,0,family,0.9869240563629987,0.9572723294556226
Echinodermata,2,family,0.9870663657329657,0.9567512605900401
Echinodermata,1,family,0.9871174085639054,0.9550737354632827
Echinodermata,3,family,0.9875443588019921,0.9534785521573387
Echinodermata,4,family,0.986487618938095,0.9530987066641032
Chordata,3,family,0.9895239486306845,0.9459738523240777
Mollusca,0,family,0.9595982385320665,0.8774499689574312
Mollusca,1,family,0.9649531213678366,0.8816945049630404
Mollusca,2,family,0.9636594126908233,0.8808548304927093
Nematoda,0,family,0.9803329803953506,0.8870731449349889
Nematoda,1,family,0.9717566735231791,0.8953174953413503
Nematoda,2,family,0.9633991583273984,0.8939863843113018
Nematoda,3,family,0.9688294288012025,0.9039453101821062
Nematoda,4,family,0.9689829717009006,0.9043704712409327
Platyhelminthes,0,family,0.9987827846426365,0.991811713992766
Platyhelminthes,1,family,0.9986567176392082,0.9795690589972775
Platyhelminthes,2,family,0.9985638231115563,0.9885184061186677
Platyhelminthes,3,family,0.9984208254387708,0.9777198069736577
Platyhelminthes,4,family,0.9983510000638015,0.9794151533616806
Mollusca,3,family,0.9657127379965578,0.88128916349272
Chordata,4,family,0.9886566332224624,0.9505257498966306
Mollusca,4,family,0.9656723086481491,0.8840929695299853
Annelida,1,genus,0.9475049733010831,0.8532124618757992
Annelida,0,genus,0.9493405786704152,0.8657367899215979
Annelida,3,genus,0.9465073661538197,0.8648991357656084
Annelida,2,genus,0.9486974064950164,0.8575098259644881
Annelida,4,genus,0.9520206328502143,0.8594388316328182
Arthropoda,0,genus,0.9777609883578553,0.8811114390131968
Arthropoda,4,genus,0.9763090274192279,0.8831884898713301
Arthropoda,1,genus,0.9768012539141054,0.8831657017726491
Arthropoda,2,genus,0.9766875959400529,0.8801224213491012
Arthropoda,3,genus,0.9766406989579752,0.8838184928825114
Chordata,0,genus,0.9673629220453599,0.8980634808179551
Chordata,1,genus,0.9670808867526397,0.8997054697755122
Chordata,2,genus,0.9683741739085796,0.8995797970899497
Cnidaria,0,genus,0.9630091604295289,0.9096762054862835
Cnidaria,1,genus,0.9671016535862429,0.9099482858465271
Cnidaria,2,genus,0.9686676354307031,0.9081411380426908
Cnidaria,4,genus,0.9669469498601643,0.9088086998569482
Cnidaria,3,genus,0.9669706021000363,0.9078437534598849
Echinodermata,0,genus,0.9766592565018088,0.9338213672776261
Echinodermata,2,genus,0.9750459899888733,0.932444928907859
Echinodermata,1,genus,0.9701090371667338,0.9350115913506037
Echinodermata,3,genus,0.9708344163610554,0.9277798006706159
Echinodermata,4,genus,0.9714088753933812,0.9283789783663553
Chordata,3,genus,0.9696561479372456,0.9038385353017865
Mollusca,0,genus,0.932227988223813,0.8311015478295272
Mollusca,1,genus,0.9343078984963313,0.8240981409719933
Mollusca,2,genus,0.9300672430961239,0.8249330725557237
Nematoda,0,genus,0.9563757379287798,0.8496012993187562
Nematoda,1,genus,0.936669548260253,0.8584225796576519
Nematoda,2,genus,0.9382658401355712,0.8657372802395561
Nematoda,3,genus,0.9387283318590162,0.8700542286579571
Nematoda,4,genus,0.9434785887415147,0.871040462047974
Platyhelminthes,0,genus,0.9977229990858351,0.9890796983331112
Platyhelminthes,1,genus,0.9974523032480961,0.9778244907734335
Platyhelminthes,2,genus,0.9978597421921307,0.9819949418255649
Platyhelminthes,3,genus,0.9970526918262798,0.9783228183727011
Platyhelminthes,4,genus,0.9968692553931795,0.9782474324773888
Mollusca,3,genus,0.9391371614364816,0.8263417956508604
Chordata,4,genus,0.9658248736676485,0.9017081190788182
Mollusca,4,genus,0.9380639495660843,0.8320022332503745
Annelida,1,species,0.924199773217081,0.8375655702017588
