embedding,phylum,rank,AUROC,AUPR
end_to_end,Cnidaria,family,0.8612202766512527,0.7897452362348615
DeepCOI,Cnidaria,family,0.9420297907878897,0.8868552997883833
onehot,Echinodermata,family,0.8595619642910998,0.7699268891325597
random,Echinodermata,family,0.9435729432453804,0.8658869200812449
end_to_end,Echinodermata,family,0.8976124251034299,0.7977746210214026
DeepCOI,Echinodermata,family,0.981701417346605,0.9414690067528148
end_to_end,Chordata,family,0.9048087277296302,0.7568822206617598
onehot,Mollusca,family,0.8473703005946982,0.6699993005348378
random,Mollusca,family,0.9430471248698462,0.8108197262849425
onehot,Nematoda,family,0.7524938036576805,0.5851552171425451
random,Nematoda,family,0.8717287497630564,0.7999288899505009
end_to_end,Nematoda,family,0.7529666607880976,0.6334050341539007
DeepCOI,Nematoda,family,0.9321220972622528,0.7842896542314421
onehot,Platyhelminthes,family,0.9261461948281291,0.877635364140747
random,Platyhelminthes,family,0.9871027547753093,0.9751025672135389
end_to_end,Platyhelminthes,family,0.813247577695712,0.7378145104663987
DeepCOI,Platyhelminthes,family,0.9917613925169867,0.9773853916581321
end_to_end,Mollusca,family,0.8675015391206017,0.7406169139868963
DeepCOI,Chordata,family,0.9904141835715112,0.945846196498107
DeepCOI,Mollusca,family,0.9693366693255349,0.8729346417942391
DeepCOI,Annelida,genus,0.9321183651090531,0.8088115188384235
onehot,Annelida,genus,0.7925887786405501,0.6291878885704338
end_to_end,Annelida,genus,0.7481462979953968,0.5883679872580306
random,Annelida,genus,0.8665306821824621,0.7072256994910616
random,Arthropoda,genus,0.9767302216681423,0.8600732677318087
end_to_end,Arthropoda,genus,0.939550198530555,0.7871345150300465
onehot,Arthropoda,genus,0.9650720627043183,0.8490804348065318
DeepCOI,Arthropoda,genus,0.9736748743606145,0.8668405410565097
onehot,Chordata,genus,0.9430530701823416,0.8444926971693987
random,Chordata,genus,0.9609423328495534,0.8688761592285538
onehot,Cnidaria,genus,0.8841993841950907,0.822364968494849
random,Cnidaria,genus,0.9060026869193212,0.8476494234837925
end_to_end,Cnidaria,genus,0.8446921024210857,0.7685997241190877
DeepCOI,Cnidaria,genus,0.9486829885707644,0.8860789449831363
onehot,Echinodermata,genus,0.8656449197236092,0.7559230896506589
random,Echinodermata,genus,0.9322166921922139,0.8383968098406158
end_to_end,Echinodermata,genus,0.871920170747541,0.743224247024007
DeepCOI,Echinodermata,genus,0.9466583528257991,0.9138751952829967
end_to_end,Chordata,genus,0.8697525831662172,0.6973294510690908
onehot,Mollusca,genus,0.8186391991515094,0.617328835859466
random,Mollusca,genus,0.9091479772206139,0.7579746051060903
onehot,Nematoda,genus,0.6946507492539353,0.5590210953162601
random,Nematoda,genus,0.8533928591062727,0.7607950378973952
end_to_end,Nematoda,genus,0.7114369764107304,0.6033562587526705
DeepCOI,Nematoda,genus,0.8878698931927059,0.7662450583462834
onehot,Platyhelminthes,genus,0.9268849972899988,0.8774587213638977
random,Platyhelminthes,genus,0.9862726503650292,0.9736512598223502
end_to_end,Platyhelminthes,genus,0.8316981812598261,0.7358654199407532
DeepCOI,Platyhelminthes,genus,0.9904588887023035,0.9753924723081816
end_to_end,Mollusca,genus,0.8178360783752592,0.6732285696805169
DeepCOI,Chordata,genus,0.9706894643233583,0.8971675183743466
DeepCOI,Mollusca,genus,0.938251498521262,0.8213522929179942
DeepCOI,Annelida,species,0.9267722516060011,0.8023779728947884
onehot,Annelida,species,0.9140929546343696,0.7294663478165766
end_to_end,Annelida,species,0.841204626797259,0.5873523195994287
random,Annelida,species,0.9221203955205047,0.77692894888163
random,Arthropoda,species,0.9401940118468388,0.9378478872981786
